abandon -> abandons,abandoning,abandoned
abase -> abases,abasing,abased
abate -> abates,abating,abated
abbreviate -> abbreviates,abbreviating,abbreviated
abdicate -> abdicates,abdicating,abdicated
abduct -> abducts,abducting,abducted
abet -> abets,abetting,abetted
abhor -> abhors,abhorring,abhorred
abide -> abode,abided,abides,abiding
abjure -> abjures,abjuring,abjured
abolish -> abolishes,abolishing,abolished
abominate -> abominates,abominating,abominated
abort -> aborts,aborting,aborted
abound -> abounds,abounding,abounded
abridge -> abridges,abridging,abridged
abrogate -> abrogates,abrogating,abrogated
abscond -> absconds,absconding,absconded
abseil -> abseils,abseiling,abseiled
absent -> absents,absenting,absented
absolve -> absolves,absolving,absolved
absorb -> absorbs,absorbing,absorbed
abstain -> abstains,abstaining,abstained
abstract -> abstracts,abstracting,abstracted
abuse -> abuses,abusing,abused
abut -> abuts,abutting,abutted
accede -> accedes,acceding,acceded
accelerate -> accelerates,accelerating,accelerated
accent -> accents,accenting,accented
accentuate -> accentuates,accentuating,accentuated
accept -> accepts,accepting,accepted
access -> accesses,accessing,accessed
acclaim -> acclaims,acclaiming,acclaimed
acclimatize -> acclimatizes,acclimatizing,acclimatized
accommodate -> accommodates,accommodating,accommodated
accompany -> accompanies,accompanying,accompanied
accomplish -> accomplishes,accomplishing,accomplished
accord -> accords,according,accorded
accost -> accosts,accosting,accosted
account -> accounts,accounting,accounted
accredit -> accredits,accrediting,accredited
accrue -> accrues,accruing,accrued
accumulate -> accumulates,accumulating,accumulated
accuse -> accuses,accusing,accused
accustom -> accustoms,accustoming,accustomed
ache -> aches,aching,ached
achieve -> achieves,achieving,achieved
acknowledge -> acknowledges,acknowledging,acknowledged
acquaint -> acquaints,acquainting,acquainted
acquiesce -> acquiesces,acquiescing,acquiesced
acquire -> acquires,acquiring,acquired
acquit -> acquits,acquitting,acquitted
act -> acts,acting,acted
activate -> activates,activating,activated
actuate -> actuates,actuating,actuated
ad-lib -> ad-libs,ad-libbing,ad-libbed
adapt -> adapts,adapting,adapted
add -> adds,adding,added
addle -> addles,addling,addled
address -> addresses,addressing,addressed
adduce -> adduces,adducing,adduced
adhere -> adheres,adhering,adhered
adjoin -> adjoins,adjoining,adjoined
adjourn -> adjourns,adjourning,adjourned
adjudge -> adjudges,adjudging,adjudged
adjudicate -> adjudicates,adjudicating,adjudicated
adjure -> adjures,adjuring,adjured
adjust -> adjusts,adjusting,adjusted
administer -> administers,administering,administered
admire -> admires,admiring,admired
admit -> admits,admitting,admitted
admonish -> admonishes,admonishing,admonished
adopt -> adopts,adopting,adopted
adore -> adores,adoring,adored
adorn -> adorns,adorning,adorned
adulterate -> adulterates,adulterating,adulterated
advance -> advances,advancing,advanced
advertise -> advertises,advertising,advertised
advise -> advises,advising,advised
advocate -> advocates,advocating,advocated
aerate -> aerates,aerating,aerated
affect -> affects,affecting,affected
affiliate -> affiliates,affiliating,affiliated
affirm -> affirms,affirming,affirmed
affix -> affixes,affixing,affixed
afflict -> afflicts,afflicting,afflicted
afford -> affords,affording,afforded
affront -> affronts,affronting,affronted
age -> ages,ageing,aged
aggravate -> aggravates,aggravating,aggravated
aggregate -> aggregates,aggregating,aggregated.
agitate -> agitates,agitating,agitated
agonize -> agonizes,agonizing,agonized
agree -> agrees,agreeing,agreed
aid -> aids,aiding,aided
ail -> ails,ailing,ailed
aim -> aims,aiming,aimed
air -> airs,airing,aired
airlift -> airlifts,airlifting,airlifted
alarm -> alarms,alarming,alarmed
alert -> alerts,alerting,alerted
alienate -> alienates,alienating,alienated
alight -> alights,alighting,alighted,alit
align -> aligns,aligning,aligned
allay -> allays,allaying,allayed
allege -> alleges,alleging,alleged
alleviate -> alleviates,alleviating,alleviated
allocate -> allocates,allocating,allocated
allot -> allots,allotting,allotted
allow -> allows,allowing,allowed
allude -> alludes,alluding,alluded
ally -> allies,allying,allied
alter -> alters,altering,altered
alternate -> alternates,alternating,alternated
amalgamate -> amalgamates,amalgamating,amalgamated
amass -> amasses,amassing,amassed
amaze -> amazes,amazing,amazed
amble -> ambles,ambling,ambled
ambush -> ambushes,ambushing,ambushed
ameliorate -> ameliorates,ameliorating,ameliorated
amend -> amends,amending,amended
Americanize -> Americanizes,Americanizing,Americanized
amount -> amounts,amounting,amounted
amplify -> amplifies,amplifying,amplified
amputate -> amputates,amputating,amputated
amuse -> amuses,amusing,amused
anaesthetize -> anaesthetizes,anaesthetizing,anaesthetized
analyse -> analyses,analysing,analysed
anchor -> anchors,anchoring,anchored
anesthetize -> anesthetizes,anesthetizing,anesthetized
anger -> angers,angering,angered
angle -> angles,angling,angled
anglicize -> anglicizes,anglicizing,anglicized
animate -> animates,animating,animated
annex -> annexes,annexing,annexed
annihilate -> annihilates,annihilating,annihilated
annotate -> annotates,annotating,annotated
announce -> announces,announcing,announced
annoy -> annoys,annoying,annoyed
annul -> annuls,annulling,annulled
anoint -> anoints,anointing,anointed
answer -> answers,answering,answered
antagonize -> antagonizes,antagonizing,antagonized
antedate -> antedates,antedating,antedated
anticipate -> anticipates,anticipating,anticipated
ape -> apes,aping,aped
apologize -> apologizes,apologizing,apologized
appal -> appals,appalling,appalled
appeal -> appeals,appealing,appealed
appear -> appears,appearing,appeared
appease -> appeases,appeasing,appeased
append -> appends,appending,appended
appertain -> appertains,appertaining,appertained
applaud -> applauds,applauding,applauded
apply -> applies,applying,applied
appoint -> appoints,appointing,appointed
apportion -> apportions,apportioning,apportioned
appraise -> appraises,appraising,appraised
appreciate -> appreciates,appreciating,appreciated
apprehend -> apprehends,apprehending,apprehended
apprentice -> apprentices,apprenticing,apprenticed
apprise -> apprises,apprising,apprised
approach -> approaches,approaching,approached
appropriate -> appropriates,appropriating,appropriated
approve -> approves,approving,approved
approximate -> approximates,approximating,approximated
arbitrate -> arbitrates,arbitrating,arbitrated
arc -> arcs,arcing,arced
arch -> arches,arching,arched
argue -> argues,arguing,argued
arise -> arises,arising,arose,arisen
arm -> arms,arming,armed
arouse -> arouses,arousing,aroused
arraign -> arraigns,arraigning,arraigned
arrange -> arranges,arranging,arranged
array -> arrays,arraying,arrayed
arrest -> arrests,arresting,arrested
arrive -> arrives,arriving,arrived
arrogate -> arrogates,arrogating,arrogated
arse -> arses,arsing,arsed
articulate -> articulates,articulating,articulated
ascend -> ascends,ascending,ascended
ascertain -> ascertains,ascertaining,ascertained
ascribe -> ascribes,ascribing,ascribed
ask -> asks,asking,asked
asphalt -> asphalts,asphalting,asphalted
asphyxiate -> asphyxiates,asphyxiating,asphyxiated
aspirate -> aspirates,aspirating,aspirated
aspire -> aspires,aspiring,aspired
assail -> assails,assailing,assailed
assassinate -> assassinates,assassinating,assassinated
assault -> assaults,assaulting,assaulted
assay -> assays,assaying,assayed
assemble -> assembles,assembling,assembled
assent -> assents,assenting,assented
assert -> asserts,asserting,asserted
assess -> assesses,assessing,assessed
assign -> assigns,assigning,assigned
assimilate -> assimilates,assimilating,assimilated
assist -> assists,assisting,assisted
associate -> associates,associating,associated
assuage -> assuages,assuaging,assuaged
assume -> assumes,assuming,assumed
assure -> assures,assuring,assured
asterisk -> asterisks,asterisking,asterisked
astonish -> astonishes,astonishing,astonished
astound -> astounds,astounding,astounded
atomize -> atomizes,atomizing,atomized
atone -> atones,atoning,atoned
atrophy -> atrophies,atrophying,atrophied
attach -> attaches,attaching,attached
attack -> attacks,attacking,attacked
attain -> attains,attaining,attained
attempt -> attempts,attempting,attempted
attend -> attends,attending,attended
attenuate -> attenuates,attenuating,attenuated
attest -> attests,attesting,attested
attract -> attracts,attracting,attracted
attribute -> attributes,attributing,attributed
auction -> auctions,auctioning,auctioned
audit -> audits,auditing,audited
audition -> auditions,auditioning,auditioned
augment -> augments,augmenting,augmented
augur -> augurs,auguring,augured
authenticate -> authenticates,authenticating,authenticated
author -> authors,authoring,authored
authorize -> authorizes,authorizing,authorized
autograph -> autographs,autographing,autographed
automate -> automates,automating,automated
avail -> avails,availing,availed
avenge -> avenges,avenging,avenged
aver -> avers,averring,averred
average -> averages,averaging,averaged
avert -> averts,averting,averted
avoid -> avoids,avoiding,avoided
avow -> avows,avowing,avowed
await -> awaits,awaiting,awaited
awake -> awakes,awaking,awoke,awoken
awaken -> awakens,awakening,awakened
award -> awards,awarding,awarded
axe -> axes,axing,axed
babble -> babbles,babbling,babbled
baby-sit -> baby-sits,baby-sitting,baby-sat
back -> backs,backing,backed
back-comb -> back-combs,back-combing,back-combed
back-pedal -> back-pedals,back-pedalling,back-pedalled
backbite -> backbites,backbit,backbitten,backbiting
backdate -> backdates,backdating,backdated
backfire -> backfires,backfiring,backfired
backslide -> backslides,backslid,backsliding,backslidden
backtrack -> backtracks,backtracking,backtracked
badger -> badgers,badgering,badgered
